Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22PGrjpYb2FP,#9 x 1-1/2 in. External Hex Drive Washer Head Roofing Screws (400-Pack),"Secure Flashing for Corrugated Roofing without pre-drilling
Teks Metal Roofing Screws are Corrosion Resistant",,,Each,56.2,,112.4,,2500 Decking,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Teks-9-x-1-1-2-in-External-Hex-Drive-Washer-Head-Roofing-Screws-400-Pack-21406/203064082,,,35,0.2,,None,1.2,,false,,
22Np3xdXEu7m,"1"" x 8"" x 12' - Western Red Cedar",,4,,,,,,,2500 Decking,Materials,true,,false,false,true,true,true,,,,,,,,,,,,
22Np3xdYnb8w,"1.5"" Trim Head Screws - 3lb Box",T07162FWP,1,,,,,,,2500 Decking,Materials,true,,false,false,true,true,true,,,,,,,,,,,,
22Nn3Ys9gEtd,"1/2""  x 100"" White PEX-A Expansion Pipe",,1,,Each,35,,49,,1100 Plumbing,Materials,false,,false,false,true,true,true,,,,,,,,,,,,
22NmAGDgD8fa,"1/2"" Copper Pipe",,,,Each,8,,11.429,,1100 Plumbing,Materials,false,,false,false,true,true,true,,,,,,,,,,,,
22Np3xdM2TBn,"1/2"" x 6"" Machine Bolt",1/2 MBHDGH,4,,,,,,,2500 Decking,Materials,true,,false,false,true,true,true,,,,,,,,,,,,
22Nn3Yryx2iu,"1/4"" x 12"" x 30"" Plexiglass",,0,,Each,82,,114.8,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/OPTIX-30-in-x-36-in-x-0-220-1-4-in-Clear-Acrylic-Sheet-MC-22/202038052,,,,,,,,,,,
22Nn3YruUb9A,"1/4"" x 3' x 5' Durock Cement Board",,0,,Each,20,,28,,1800 Tiling,Materials,false,,false,false,true,true,true,,,,,,,,,,,,
22Nn3YrfWhbT,"10"" Drawer Slide",,1,,Each,20,,28,,1900 Cabinetry,Materials,false,,false,false,true,true,true,,,,,,,,,,,,
22P4pdeUh7Xw,12 in. W x 12 in. H x 3.5 in. D Kerdi-Board-SN Shower Niche in Orange,Kerdi-Board-SN 12 in. x 12 in. Shower Niche is a prefabricated shower niche made of Schluter-Kerdi-Board. Lightweight for ease of installing. Waterproof for your shower installation.,,,,79.27,,113.24285714285715,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-12-in-W-x-12-in-H-x-3-5-in-D-Kerdi-Board-SN-Shower-Niche-in-Orange-KB12SN305305A/204483933,,,,,,,1.2,,,,
