Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4fhTpWvHk,Dempsey Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dempsey Copy,Preconstruction,,,"Site Walkthrough / Measurements.
Dust Protection/ Floor Protection.
Trash Collection and Removal.",,,,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Preconstruction,22NmAGBedRdg,Other | Planning | Remodeling Permit,Permit granted by the city.,0,,Each,350,,500,,0100 Planning,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Preconstruction,22NmAGBg5aax,Labor | Planning | Site Walkthrough & Measurements,,2,,Hours,62,,88.57,,0100 Planning,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Demo,,,"Remove Existing Shower Walls, Vanity, Toilet, Flooring. 
Existing Wall/wiring/baseboard for Pocket Door.",118,{shower wall tile (sq ft)}+{shower pan tile (sq ft)},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Demo; Labor,,,,118,{parent quantity},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Demo; Labor,22Nn3YquyhvX,Labor | Demo | Demo Tile,,3,ceil({production rate}*{parent quantity}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,0.02,,,,,,,,,,
,Dempsey Copy,Demo; Labor,22NmAGBwPMyk,Labor | Demo | Demo Deck,Demolition and remove all items in the space to bring it to a state where we can start new construction.,9,ceil({production rate}*{parent quantity}),Hours,50,,71.43,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,0.05,,,,,,,,,,
,Dempsey Copy,Demo; Labor,22NmAGBwPMyk,Labor | Demo | Demo Deck,Demolition and remove all items in the space to bring it to a state where we can start new construction.,4,ceil({production rate}*{parent quantity}),Hours,50,,71.43,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,0.05,,,,,,,,,,
,Dempsey Copy,Demo; Materials,,,,,,,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
