Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdgGMLHZ,Kerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kerdi,Kerdi,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Mortar,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Mortar,22NmAGFaE2MA,Material | Tile | HydroBan Thinset Mortar - 50#,,0,ceil({shower wall tile square ft}/50)+1,Each,28.5,,40.72,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Kerdi,Kerdi; Trim Profiles,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Trim Profiles,22Nn3YrwpgBK,"Material | Tile | Schluter Aluminum Trim | 1/4""",,0,{shower wall lineal ft}/8+1,Each,24,,33.6,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Kerdi,Kerdi; Niches,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Niches,22P4pdeUh7Xw,Material | Tile | Kerdi-Board Niche | 12x12,Kerdi-Board-SN 12 in. x 12 in. Shower Niche is a prefabricated shower niche made of Schluter-Kerdi-Board. Lightweight for ease of installing. Waterproof for your shower installation.,,,Each,79.27,,113.24,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-12-in-W-x-12-in-H-x-3-5-in-D-Kerdi-Board-SN-Shower-Niche-in-Orange-KB12SN305305A/204483933,,,,,,,1.2,,,,
,Kerdi,Kerdi; Niches,22P4pdeXRRa2,Material | Tile | Kerdi-Board Niche | 12x20,Kerdi-Board-SN 12 in. x 20 in. Shower Niche is a prefabricated shower niche made of Schluter-Kerdi-Board. Lightweight for ease of installing. Waterproof niche once installed is ready for tiling.,,,Each,107.16,,153.09,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-12-in-W-x-20-in-H-x-3-5-in-D-Kerdi-Board-SN-Shower-Niche-in-Orange-KB12SN305508A1/204483944,,,,,,,1.2,,,,
,Kerdi,Kerdi; Membranes,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Membranes,22P4pdeZvJdj,Material | Tile | Kerdi Membrane | 39x65,Kerdi is a sheet-applied polyethylene waterproofing membrane and vapor retarder. Kerdi200/20M covers 215 sq. ft. and is ideal for waterproofing tiled tub surrounds and showers. This membrane features an anchoring fleece on both sides to anchor it in thin-set mortar. Kerdi eliminates water damage which can lead to mold and mildew.,,,Each,469,,670,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-215-sq-ft-39-in-W-x-65-ft-L-x-8-mm-T-Waterproofing-Membrane-Underlayment-for-Tile-KERDI200-20M/202608387,,,,,,,1.2,,,,
,Kerdi,Kerdi; Membranes,22P4pdecNgkP,Material | Tile | Kerdi Membrane | 3x16,Kerdi is a sheet-applied polyethylene waterproofing membrane and vapor retarder. Kerdi200/5M covers 54 sq. ft. and is ideal for waterproofing tiled tub surrounds and showers. This membrane features an anchoring fleece on both sides to anchor it in thin-set mortar. Kerdi eliminates water damage which can lead to mold and mildew.,,,Each,127,,181.43,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-3-ft-3-in-x-16-ft-5-in-Waterproofing-Membrane-KERDI200-5M/202608388,,,,,,,1.2,,,,
