Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22PGrkQ8FR4F,New Deck Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Deck Template,Preconstruction,,,All project management (Includes permitting as needed.).,1,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Preconstruction,22NnDvWgxmSp,Other | Planning | Estimating Fee,Charging clients for preparation of estimate,0,ceil({parent quantity}* {production rate}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,0100 Planning,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Preconstruction,22NnDvWihvby,"Other | Planning | Project Management, Standard Permits, & Oversight",All project management to include permitting as needed and on-site porta potty as required by city/county ordinance.,0,ceil({parent quantity}* {production rate}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,0100 Planning,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Preconstruction,22NnDvWkGmsf,Other | Planning | Project Management - Clerical,"Estimates, Revisions, Material Spec",0,ceil({parent quantity}* {production rate}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,0100 Planning,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Preconstruction,22NnDY6Jackc,Building Plans/Drawings,,0,,Each,,,,,0000 Uncategorized,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Preconstruction,22NnDvWmqUPa,Other | Planning | Residential Building Permit Cost - County,Construction permits In the city,1,,Lump Sum,,,0,,0100 Planning,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Preconstruction,22NnDvWpe5CH,Material | Planning | Jobsite Tools & Equipment for Project Mobilization,"Lockboxes, yard signs, specialty tools, demo tools, referral gift, clean-up materials, fuel",1,,Lump Sum,330,,511.47,,0100 Planning,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Sitework,,,Job site cleanup & dispose of all construction debris in contractor's off-site dumpster.,,ceil(({d_total_sf}*{waste_factor})),Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Sitework; Labor,,,,,{Parent Quantity},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Sitework; Labor,22NnDvXBjua7,Labor | Specialty | Sitework | Jobsite Cleanup,Cleaning at the end of the day,0,ceil({parent quantity}* {production rate}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,2200 Specialty Finishes,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Sitework; Materials,,,,,{Parent Quantity},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Sitework; Materials,22Nn3Yr3Ne5S,Material | Planning | Trash Bags,,2,,Each,27,,38.57,,0100 Planning,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Sitework; Materials,22NnDY6MwFmu,Other | Sitework | Dump Fee,,1,,Each,20,,28.57,,0110 Site Preparation,Other,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Sitework; Materials,22NnDvX9mVT2,Material | Demo | Trash- Dump Trailer - (Trash disposal),Trailer Dump fee at Transfer Station or unload @ shop dumpster,1,,Each,,,,,0200 Demolition,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Demolition,,,"Remove existing railing, decking and framing.",,ceil(({d_total_sf}*{waste_factor})),Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Demolition; Labor,,,,,{Parent Quantity},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Demolition; Labor,22NtWSWy2pTt,Labor | Demo | Concrete,,0,0,Hours,,ceil({Labor Wage}*{Labor Burden}),,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Demolition; Labor,22NtWRDU9fM9,Labor | Demo | Exterior,,0,ceil({parent quantity}* {production rate}),Hours,435.2,ceil({Labor Wage}*{Labor Burden}),621.71,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,0.04,,,,,,,,,,
,New Deck Template,Demolition; Labor,22NnDvWreKRY,Labor | Planning | Sitework | Move Client's Furnishings,Move Owners Furnishings to adjacent room or garage (Wrapping & packing not included),0,ceil({parent quantity}* {production rate}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,0100 Planning,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Demolition; Materials,,,,,{Parent Quantity},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Footings,,,Inspect Footings for,,{footings_#},Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Footings; Labor,,,,0,0,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Footings; Labor,22NnDY6YBn4L,Labor | Concrete | Pour Footings,,0,ceil({parent quantity}* {production rate}),Hours,100.19999999999999,ceil({Labor Wage}*{Labor Burden}),143.14285714285714,,2800 Concrete,Labor,false,,false,false,true,false,,,,,,true,true,,0.421,,,,,,,,,,
,New Deck Template,Footings; Materials,,,,0,0,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Footings; Materials,22Np3xcPPtb3,Material | Decking | ABU66Z Adjustable Post Base with Standoff (ZMAX®),ABU66Z,0,{Parent Quantity},Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Footings; Materials,22PGrkPd7ebV,Material | Siding | ABA ZMAX Galvanized Adjustable Standoff Post Base for 6x6 Nominal Lumber,,0,{Parent Quantity},Each,54,,108,,0800 Siding,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Simpson-Strong-Tie-ABA-ZMAX-Galvanized-Adjustable-Standoff-Post-Base-for-6x6-Nominal-Lumber-ABA66Z/100375370,,,35,0.2,,None,1.2,ABA66Z,false,,
,New Deck Template,Footings; Materials,22PGrkPfRACp,"Material | Siding | SDS-Plus Drill Bit | 5/8x8""",,0,{Parent Quantity},Each,16.77,,33.54,,0800 Siding,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Milwaukee-5-8-in-x-8-in-4-Cutter-SDS-PLUS-Carbide-Drill-Bit-48-20-8300/300879137,,,35,0.2,,None,1.2,48-20-8300,false,,
